,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,label,score
16,1845184822831984888,Sat Oct 12 19:28:38 +0000 2024,3,I have no words. Well ... I do have words but they aren't very nice words. #wpdrama #wordpress,1845184822831984888,,,en,"West Fargo, ND",0,0,1,https://x.com/hightechredneck/status/1845184822831984888,11645892,hightechredneck,words well words nice words wpdrama wordpress,positive,0.5994
17,1845183188223561930,Sat Oct 12 19:22:08 +0000 2024,1,Unfolding new WPDrama! New ACF clone is coming and it ll call SCF #WordPress #acf #wpengine https://t.co/ISnreWQDsP,1845183188223561930,https://pbs.twimg.com/media/GZtoU9AXYAEgJDH.jpg,,en,,0,0,0,https://x.com/parvezvai/status/1845183188223561930,828981955,parvezvai,unfolding new wpdrama new acf clone coming call scf wordpress acf wpengine,neutral,0.0
18,1845181513052119204,Sat Oct 12 19:15:29 +0000 2024,21,Next-up: Mullenweg forks Elementor - renames it Gutenberg. https://t.co/IPBv8uaKSx #WordPress #wpdrama,1845181513052119204,,,en,Greece,3,3,3,https://x.com/JohnPixle/status/1845181513052119204,121212243,JohnPixle,next mullenweg forks elementor renames gutenberg wordpress wpdrama,neutral,0.0
19,1845181184222929228,Sat Oct 12 19:14:10 +0000 2024,2,Now I get why they added the checkbox. You ll have to check the box to remove your contributions in order to protect your work from takeover. #wordpress #wpdrama,1845181184222929228,,,en,"Tulsa, Oklahoma",0,0,0,https://x.com/jmbullis/status/1845181184222929228,15790894,jmbullis,get added checkbox check box remove contributions order protect work takeover wordpress wpdrama,positive,0.3818
20,1845169499064107049,Sat Oct 12 19:06:10 +0000 2024,20,@wp_acf This is downright dirty. They've taken over the repo slug as well so anyone clicking the update button is going to unwittingly switch to the fork. And speaking of trademark infringement... #wpdrama,1845179171732942897,,wp_acf,en,Winnipeg,0,0,0,https://x.com/toderash/status/1845179171732942897,33134474,toderash,wp acf downright dirty taken repo slug well anyone clicking update button going unwittingly switch fork speaking trademark infringement wpdrama,negative,-0.4404
21,1845178842492829804,Sat Oct 12 19:04:52 +0000 2024,3,Holy smokes. Automattic locked WP Engine out of the .org directory and is now stealing the ACF plugin because it s abandoned since they can t update it. I never thought they d set a precedent as dangerous as this. It effects both end users and plugin developers #wpdrama,1845178842492829804,,,en,"Burbank, CA",0,0,1,https://x.com/Cowkitty/status/1845178842492829804,15364167,Cowkitty,holy smokes automattic locked wp engine org directory stealing acf plugin abandoned since update never thought set precedent dangerous effects end users plugin developers wpdrama,negative,-0.8316
22,1845178095168270472,Sat Oct 12 19:01:54 +0000 2024,1,it feels like the Tech world is on fire: The internet Archive is actively getting hacked WP Engine and Automattic Drama Microsoft is now mandatory for explorer? - seems like a W11 only thing Google search has also seemingly gotten worse over the past year.,1845178095168270472,,,en,,0,0,0,https://x.com/ChineeMan425/status/1845178095168270472,2409740827,ChineeMan425,feels like tech world fire internet archive actively getting hacked wp engine automattic drama microsoft mandatory explorer seems like w11 thing google search also seemingly gotten worse past year,positive,0.1027
23,1845172908685201603,Sat Oct 12 18:56:43 +0000 2024,7,@JavierCasares This drama has reached its peak right now. Hopefully it ends because it exposes the type of leadership WP has and the yes men around Matt.,1845176792291680578,,JavierCasares,en,"Pretoria, South Africa",0,1,0,https://x.com/kerapetsi_major/status/1845176792291680578,797141247936827392,kerapetsi_major,javiercasares drama reached peak right hopefully ends exposes type leadership wp yes men around matt,positive,0.743
24,1845171552133750954,Sat Oct 12 18:56:00 +0000 2024,1,@benswrite More &amp; more spices being added to the drama. It just doesn t let you turn away It feels sad too,1845176612322672892,,benswrite,en,,0,0,0,https://x.com/mehbubrashid/status/1845176612322672892,1021420886,mehbubrashid,benswrite amp spices added drama let turn away feels sad,negative,-0.4767
25,1845174960505180323,Sat Oct 12 18:49:26 +0000 2024,44,From the ACF/SCF WordPress announcement. You mean how you reached out to him made him an offer he couldn't refuse and he then went to Theo and asked what Theo thought? He didn't defect - you poached him. #wpdrama #wordpress #Mattisabully https://t.co/W00M6pO5Km,1845174960505180323,https://pbs.twimg.com/media/GZtf-0pbIAAsuqS.jpg,,en,Mexico,0,0,5,https://x.com/kellie/status/1845174960505180323,790217,kellie,acf scf wordpress announcement mean reached made offer refuse went theo asked theo thought defect poached wpdrama wordpress mattisabully,negative,-0.4939
26,1845174209984782406,Sat Oct 12 18:46:27 +0000 2024,2,Can we just have a day? #wpdrama #wordpress https://t.co/BLOjWCUoZR,1845174209984782406,,,en,"Tulsa, Oklahoma",0,0,0,https://x.com/jmbullis/status/1845174209984782406,15790894,jmbullis,day wpdrama wordpress,neutral,0.0
27,1845173157545771385,Sat Oct 12 18:42:17 +0000 2024,280,To be clear: @photomatt and @automattic have set a precedent not dissimilar to Amazon - encouraging the growth of an product built by another to then replicate it and introduce their own version of it. If you are a plugin developer you should be concerned. #wordpress #wpdrama,1845173157545771385,,,en,Mexico,1,12,33,https://x.com/kellie/status/1845173157545771385,790217,kellie,clear photomatt automattic set precedent dissimilar amazon encouraging growth product built another replicate introduce version plugin developer concerned wordpress wpdrama,positive,0.8519
28,1845172782457380886,Sat Oct 12 18:40:47 +0000 2024,1,Okay bored of the WP drama now,1845172782457380886,,,en,,0,0,0,https://x.com/SamNewby_/status/1845172782457380886,4373311600,SamNewby_,okay bored wp drama,positive,0.2023
30,1845172120118034713,Sat Oct 12 18:38:09 +0000 2024,1,Holy moly! It just became too advanced and less secure #wpdrama. If you know what I mean...,1845172120118034713,,,en,EU,0,0,0,https://x.com/MMakijenko/status/1845172120118034713,802125493818585089,MMakijenko,holy moly became advanced less secure wpdrama know mean,positive,0.4779
31,1845171552133750954,Sat Oct 12 18:35:54 +0000 2024,3,I'm off have wonderful dreams. Hopefully not full of WP Drama life moves on. Don't let it consume you you're better than this. Besides there's other platforms maybe ones who need a shout out. Do your bit and talk about them WP is not the be all and end all. https://t.co/1kT1Bv77t8,1845171552133750954,https://pbs.twimg.com/tweet_video_thumb/GZtdvmRWsAw2EMO.jpg,,en,United Kingdom,0,2,0,https://x.com/benswrite/status/1845171552133750954,4695860702,benswrite,wonderful dreams hopefully full wp drama life moves let consume better besides platforms maybe ones need shout bit talk wp end,positive,0.9325
32,1845170171641798858,Sat Oct 12 18:30:25 +0000 2024,71,Not wrong after all https://t.co/dP8vgPYXI9 #wpdrama @wordpress,1845170171641798858,,,en,Mexico,1,10,1,https://x.com/kellie/status/1845170171641798858,790217,kellie,wrong wpdrama wordpress,negative,-0.4767
33,1845170131275489518,Sat Oct 12 18:30:15 +0000 2024,0, Now this is a real damage! #wpdrama #WordPress #wpEngine #acf,1845170131275489518,,,en,India,0,0,0,https://x.com/Ekbyte/status/1845170131275489518,34960986,Ekbyte,real damage wpdrama wordpress wpengine acf,negative,-0.4939
34,1845170004221698157,Sat Oct 12 18:29:45 +0000 2024,2,Someone on WP Engine s legal team is licking their lips right now that s for damn sure. #WPDrama,1845170004221698157,,,en,"Tampa, FL",0,0,0,https://x.com/mbabker/status/1845170004221698157,64282496,mbabker,someone wp engine legal team licking lips right damn sure wpdrama,positive,0.2732
35,1845150457682935884,Sat Oct 12 18:11:56 +0000 2024,2,@simonhamp @photomatt I m living for the WP drama and the absolute masterpieces of irony that just keep on coming,1845165519848063334,,simonhamp,en,Sweden,0,0,0,https://x.com/CodeWithCaen/status/1845165519848063334,1376972831670607875,CodeWithCaen,simonhamp photomatt living wp drama absolute masterpieces irony keep coming,positive,0.6486
36,1845149411384742332,Sat Oct 12 18:08:52 +0000 2024,0,@mattbeck No I m simply saying that when people say that Matt is the only one doing damage to the community the group that was first to escalate the situation was WP Engine after Matt s initial drama. If the goal was to end the situation and get things quiet again to ensure customers,1845164750390657491,,mattbeck,en,"Los Angeles, CA",0,1,0,https://x.com/blackqueeriroh/status/1845164750390657491,1294531,blackqueeriroh,mattbeck simply saying people say matt one damage community group first escalate situation wp engine matt initial drama goal end situation get things quiet ensure customers,positive,0.1027
37,1845162911968395331,Sat Oct 12 18:01:34 +0000 2024,13,Oh we playin' the cover all round. #wordpress #wpdrama,1845162911968395331,,,en,Mexico,0,0,3,https://x.com/kellie/status/1845162911968395331,790217,kellie,oh playin cover round wordpress wpdrama,neutral,0.0
38,1845154313594630442,Sat Oct 12 17:27:24 +0000 2024,2,This is super interesting because it belies how many people inside the #WordPress Community have been behaving this way since the #WPdrama but won t acknowledge it while also calling other people out on it. There has been a LOT of bad behavior by a LOT of people but nobody,1845154313594630442,,,en,"Los Angeles, CA",0,1,0,https://x.com/blackqueeriroh/status/1845154313594630442,1294531,blackqueeriroh,super interesting belies many people inside wordpress community behaving way since wpdrama acknowledge also calling people lot bad behavior lot people nobody,positive,0.4767
40,1845075708306923813,Sat Oct 12 16:10:14 +0000 2024,0,@ryancduff @photomatt None of my clients heard about this whole WordPress thing and they couldn't care less. I'll also keep building plugins and websites uaing WP. Things will get back to normal in a bit. Too much drama...,1845134893858148535,,ryancduff,en,"Dublin, Ireland",0,0,0,https://x.com/cipriangb/status/1845134893858148535,21515101,cipriangb,ryancduff photomatt none clients heard whole wordpress thing care less also keep building plugins websites uaing wp things get back normal bit much drama,positive,0.6369
41,1845128054533706227,Sat Oct 12 15:43:03 +0000 2024,4,Not a good time to be involved in X's community notes when it comes to a WPdrama. Seeing lots of stuff at the moment. https://t.co/TeKhiOh8oq,1845128054533706227,https://pbs.twimg.com/tweet_video_thumb/GZs2LoeWYAc5tpW.jpg,,en,United Kingdom,0,1,0,https://x.com/benswrite/status/1845128054533706227,4695860702,benswrite,good time involved x community notes comes wpdrama seeing lots stuff moment,positive,0.4404
42,1845121697222934634,Sat Oct 12 15:17:47 +0000 2024,2,Amid all the #wpdrama I want to take a moment to say that I have valued what the WordPress software has allowed me to create and grow and I ve been an advocate for it. Thanks for making this all feel gross now @photomatt @WordPress @automattic,1845121697222934634,,,en,,0,0,0,https://x.com/DavidKlotz19/status/1845121697222934634,1456628645297020936,DavidKlotz19,amid wpdrama want take moment say valued wordpress software allowed create grow advocate thanks making feel gross photomatt wordpress automattic,positive,0.6249
43,1845116443408375821,Sat Oct 12 14:56:55 +0000 2024,0,If you haven't kept up with WordPress/WP Engine drama 7 minute catch up: https://t.co/jtWFJVy4wS,1845116443408375821,,,en,,0,0,0,https://x.com/loopsvariables/status/1845116443408375821,29703338,loopsvariables,kept wordpress wp engine drama 7 minute catch,positive,0.25
44,1844971552950935756,Sat Oct 12 14:23:39 +0000 2024,5,@WarrenLNaida The hashtag in reference is #WPdrama,1845108072865226872,,WarrenLNaida,en,"Long Beach, CA",0,1,0,https://x.com/sereedmedia/status/1845108072865226872,286036702,sereedmedia,warrenlnaida hashtag reference wpdrama,neutral,0.0
45,1844366975482593647,Sat Oct 12 14:02:40 +0000 2024,0,@KatieKeithBarn2 @Just2Ronald @photomatt @mathewi I do think WP Engine can something if they care about the community. They re not doing it because this #wpdrama plays on their favor. At worse WP market share will drop but WP will move on. Matt s approach wasn t the best but he is got some valid points.,1845102789711601684,,KatieKeithBarn2,en,,0,1,0,https://x.com/IAMExceptional7/status/1845102789711601684,2366632040,IAMExceptional7,katiekeithbarn2 just2ronald photomatt mathewi think wp engine something care community wpdrama plays favor worse wp market share drop wp move matt approach best got valid points,positive,0.9201
46,1845102538388849142,Sat Oct 12 14:01:40 +0000 2024,15,The best thing to come out of this WordPress drama is that I've found dozens of new interesting people to follow...because they got banned from the wp slack lol,1845102538388849142,,,en,Atlanta GA,0,4,1,https://x.com/ravavyr/status/1845102538388849142,1058141731835863040,ravavyr,best thing come wordpress drama found dozens new interesting people follow got banned wp slack lol,positive,0.8271
47,1845101346426434022,Sat Oct 12 13:56:55 +0000 2024,12,Regarding the #wpdrama I just want to say that I host several sites on both @wpengine and @HeyFlywheel and it s been a great experience. Great chat support easy to use site management staging and dev environment setup and the Local app is great for dev and push/pull of sites,1845101346426434022,,,en,,0,0,0,https://x.com/DavidKlotz19/status/1845101346426434022,1456628645297020936,DavidKlotz19,regarding wpdrama want say host several sites wpengine heyflywheel great experience great chat support easy use site management staging dev environment setup local app great dev push pull sites,positive,0.9595
48,1845083682727424017,Sat Oct 12 12:46:44 +0000 2024,0,The drama thickens in the WordPress world! Matt Mullenweg's feud with WP Engine isn't just messy it's a full-blown legal circus. Is the community caught in the crossfire? Get the scoop on this conflict of interest and its implications here: https://t.co/L8YYpjrern,1845083682727424017,,,en,Varanasi,0,0,0,https://x.com/MunshiPremChnd/status/1845083682727424017,1714036641772294144,MunshiPremChnd,drama thickens wordpress world matt mullenweg feud wp engine messy full blown legal circus community caught crossfire get scoop conflict interest implications,negative,-0.0258
50,1842441761739661425,Sat Oct 12 12:10:47 +0000 2024,0,@_skris Huh interesting choice. Exploring your site as an WP alternative bc of all that drama but making random rapid decisions to prevent a user from doing something seems like a mini minor version of what the wp guy is doing .,1845074635617902600,,_skris,en,,0,0,0,https://x.com/midIQeth/status/1845074635617902600,873448006472744961,midIQeth,skris huh interesting choice exploring site wp alternative bc drama making random rapid decisions prevent user something seems like mini minor version wp guy,positive,0.8074
51,1845037959587713161,Sat Oct 12 12:06:57 +0000 2024,3,@PovilasKorop @BohuslavSimek Please no compatibility with WordPress. That would only bloat the code. Take the best of WordPress and avoid the mistakes of WordPress. I think the internet needed this WP drama so that people could develop new ideas.,1845073668818231341,,PovilasKorop,en,,0,1,0,https://x.com/FatonB95/status/1845073668818231341,1815386859649863680,FatonB95,povilaskorop bohuslavsimek please compatibility wordpress would bloat code take best wordpress avoid mistakes wordpress think internet needed wp drama people could develop new ideas,positive,0.5859
52,1845072179680964775,Sat Oct 12 12:01:02 +0000 2024,0,WordPress drama unfolds: Co-founder Matt Mullenweg and WP Engine clash in legal battle. Lawsuits and million-pound demands heat up the conflict. What's next for the popular CMS? #WordPress #TechDispute https://t.co/6Z6jnS62AE https://t.co/gkLRkg8SCr,1845072179680964775,https://pbs.twimg.com/media/GZsDXlpXcA4b8KJ.jpg,,en,Cheshire,0,0,0,https://x.com/coldflamedesign/status/1845072179680964775,1091363549157437442,coldflamedesign,wordpress drama unfolds co founder matt mullenweg wp engine clash legal battle lawsuits million pound demands heat conflict next popular cms wordpress techdispute,negative,-0.0516
53,1844713471755063500,Sat Oct 12 11:50:36 +0000 2024,2,@TheCre8tiveDiva I'm sorry for what you had to go through Anita. I'm also very glad to see you come out well on the other side. The parallel you've drawn to the WP drama we are seeing today is spot on. The way I see it is we either come out stronger or come out different. Something needs to,1845069555242012793,,TheCre8tiveDiva,en,United Kingdom,0,1,0,https://x.com/ajaydsouza/status/1845069555242012793,3412651,ajaydsouza,thecre8tivediva sorry go anita also glad see come well side parallel drawn wp drama seeing today spot way see either come stronger come different something needs,positive,0.8126
54,1845067034511491124,Sat Oct 12 11:40:35 +0000 2024,0,Even before the stopping of WordPress vs WP Engine drama we have one more in the form of Beehiive vs Kit. Tech is so full of entertainment.,1845067034511491124,,,en,Bharat,0,0,0,https://x.com/AvaneeshKSingh/status/1845067034511491124,138902923,AvaneeshKSingh,even stopping wordpress vs wp engine drama one form beehiive vs kit tech full entertainment,positive,0.4939
56,1845020805605831003,Sat Oct 12 08:43:45 +0000 2024,2,In the current state of the #WPDrama I dont see it anymore as a war #WordPress against Silver Lake. Its only a small conflict between two commercial companys which happen often. But its a fight from the CEO of Automattic against the #WordPress community about power.,1845022533281554705,,xwolf,en,"Erlangen, Deutschland",0,1,0,https://x.com/xwolf/status/1845022533281554705,14623982,xwolf,current state wpdrama dont see anymore war wordpress silver lake small conflict two commercial companys happen often fight ceo automattic wordpress community power,negative,-0.1911
57,1845020805605831003,Sat Oct 12 08:36:53 +0000 2024,0,Since the beginning (September 19.) of the #WPDrama I wrote some kind of log with updates on Bluesky. There I write in german only. If someone is interessted take a look here: https://t.co/oMgZfNr17X,1845020805605831003,,,en,"Erlangen, Deutschland",0,1,0,https://x.com/xwolf/status/1845020805605831003,14623982,xwolf,since beginning september 19 wpdrama wrote kind log updates bluesky write german someone interessted take look,positive,0.5267
59,1845002764276953246,Sat Oct 12 08:20:12 +0000 2024,0,@assertchris WP? Yes lol what drama.,1845016608730673231,,assertchris,en,"George, South Africa",0,0,0,https://x.com/nuclearpengy/status/1845016608730673231,17151609,nuclearpengy,assertchris wp yes lol drama,positive,0.7579
60,1844914198792503629,Sat Oct 12 07:25:03 +0000 2024,1,@NSResponder @bbum No idea what the dev team drama will mean. I have to credit WP s capabilities and visual editor as offering pretty good UX despite not being a fan of how they chose to implement block mode via HTML comments. WP s own editor now does a good share of what I wrote TypeMetal for.,1845002729892065345,,NSResponder,en,Upward Staging Area 1,0,0,0,https://x.com/kulak76/status/1845002729892065345,18014625,kulak76,nsresponder bbum idea dev team drama mean credit wp capabilities visual editor offering pretty good ux despite fan chose implement block mode via html comments wp editor good share wrote typemetal,positive,0.8987
61,1844996843970658545,Sat Oct 12 07:01:40 +0000 2024,5,The WordPress vs. WP Engine drama explained https://t.co/UryC9zUqZ2,1844996843970658545,,,en,Barcelona / Granada (Spain),0,0,1,https://x.com/JavierCasares/status/1844996843970658545,2261732827,JavierCasares,wordpress vs wp engine drama explained,positive,0.25
62,1844986799766000086,Sat Oct 12 06:21:45 +0000 2024,6,Reminder: there are no winners in a nuclear war. #wpdrama #wpengine #WordPress,1844986799766000086,,,en,"Cologne, Germany",0,0,1,https://x.com/SniperSister/status/1844986799766000086,77000763,SniperSister,reminder winners nuclear war wpdrama wpengine wordpress,negative,-0.2023
63,1844945968690549023,Sat Oct 12 03:39:31 +0000 2024,0,Couldn t help but think of this video #wpdrama https://t.co/9jCqW4R2U6,1844945968690549023,,,en,Texas,0,0,0,https://x.com/TheGazornenplat/status/1844945968690549023,25146574,TheGazornenplat,help think video wpdrama,positive,0.4019
64,1844942079689986427,Sat Oct 12 03:24:03 +0000 2024,1,Whatever drama there is in the wp world however we all might disagree I hope we all send @schutzsmith and everyone else in FL much love and support.,1844942079689986427,,,en,"Omaha, NE",0,0,0,https://x.com/CHintheOMA/status/1844942079689986427,547183951,CHintheOMA,whatever drama wp world however might disagree hope send schutzsmith everyone else fl much love support,positive,0.8481
65,1844337324844548257,Sat Oct 12 03:17:33 +0000 2024,1,@schutzsmith I used to live in Tampa and worked in news there for a big chunk of my life. Whatever disagreements we may have over the wp drama please know I'm glad you are safe and I'm wishing you all the best as you deal with the aftermath.,1844940442590175587,,schutzsmith,en,"Omaha, NE",0,0,0,https://x.com/CHintheOMA/status/1844940442590175587,547183951,CHintheOMA,schutzsmith used live tampa worked news big chunk life whatever disagreements may wp drama please know glad safe wishing best deal aftermath,positive,0.91
66,1844936101254864920,Sat Oct 12 03:00:18 +0000 2024,0,Something rather noteworthy in the #wpdrama is that Matt hired a heavyweight attorney to defend him against the lawsuit filed by WPE not to file a lawsuit against WPE.,1844936101254864920,,,en,,0,0,0,https://x.com/DavidKlotz19/status/1844936101254864920,1456628645297020936,DavidKlotz19,something rather noteworthy wpdrama matt hired heavyweight attorney defend lawsuit filed wpe file lawsuit wpe,negative,-0.4215
67,1844934855848493295,Sat Oct 12 02:55:21 +0000 2024,5,Why does this look so relevant? #wpdrama,1844934855848493295,,,en,Earth,0,0,3,https://x.com/zeeshanraza/status/1844934855848493295,17963437,zeeshanraza,look relevant wpdrama,neutral,0.0
68,1844808132796522821,Sat Oct 12 02:44:50 +0000 2024,8,@auren @photomatt Matt is so full of shit his body started to protest with a nose bleed (which neither one of them acknowledged). Damn that was weird. #wpdrama https://t.co/PfJcQTLBg2,1844932208655552664,https://pbs.twimg.com/media/GZqEEF8WsBUcyE_.jpg,auren,en,,1,1,0,https://x.com/DavidKlotz19/status/1844932208655552664,1456628645297020936,DavidKlotz19,auren photomatt matt full shit body started protest nose bleed neither one acknowledged damn weird wpdrama,negative,-0.6177
69,1844921616205217832,Sat Oct 12 02:02:44 +0000 2024,0,@WordPress if you didn t want the smoke you shouldn t have started the fire. #wpdrama,1844921616205217832,,WordPress,en,,0,0,0,https://x.com/DavidKlotz19/status/1844921616205217832,1456628645297020936,DavidKlotz19,wordpress want smoke started fire wpdrama,negative,-0.2732
70,1844910438208897543,Sat Oct 12 01:18:19 +0000 2024,0,Just saw Fireship video about @photomatt's WP. I stopped when I got the interview clips. Apparently this competitor is not so benevolent and Matt engaging at all with someone who clearly is geared for drama is going to be purely taxing. Just gonna say it:,1844910438208897543,,,en,Superposition,0,1,0,https://x.com/abstract0n/status/1844910438208897543,1795416393808314368,abstract0n,saw fireship video photomatt wp stopped got interview clips apparently competitor benevolent matt engaging someone clearly geared drama going purely taxing gonna say,positive,0.836
71,1844783586676711526,Fri Oct 11 23:22:55 +0000 2024,1,@jonschr @SteveStruemph No one stopped WP Engine from access the code btw. That is and always has been accessible to them. The question is how should the project be governed so takers aren't profiting off of free or donated labor without giving back? This is bigger than this drama.,1844881397216882741,,askwpgirl,en,"Boulder, Colorado",0,2,0,https://x.com/askwpgirl/status/1844881397216882741,89498202,askwpgirl,jonschr stevestruemph one stopped wp engine access code btw always accessible question project governed takers profiting free donated labor without giving back bigger drama,positive,0.6077
72,1844742338175705570,Fri Oct 11 22:57:34 +0000 2024,4,@fireship_dev The real question though is will this bring down WP s marketshare. Because if not we will see a bigger drama very soon.,1844875016405647567,,fireship_dev,en,Earth,0,0,0,https://x.com/zeeshanraza/status/1844875016405647567,17963437,zeeshanraza,fireship dev real question though bring wp marketshare see bigger drama soon,positive,0.25
