,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,label,score
0,1845202877146349614,Sat Oct 12 20:40:22 +0000 2024,45,You know what the craziest thing about this #wpdrama is? Usually when a for-profit entity starts getting uppity about people making millions off their open source by following the licenses they set forward the community usually hard forks it and moves forward telling the,1845202877146349614,,,en,Iowa,2,5,2,https://x.com/joshmanders/status/1845202877146349614,126174139,joshmanders,know craziest thing wpdrama usually profit entity starts getting uppity people making millions open source following licenses set forward community usually hard forks moves forward telling,positive,0.3182
1,1845198805211414563,Sat Oct 12 20:24:11 +0000 2024,5,The WP drama is way way worse than the OAI drama and it somehow keeps on giving,1845198805211414563,,,en,,0,0,0,https://x.com/TheXeophon/status/1845198805211414563,3382720905,TheXeophon,wp drama way way worse oai drama somehow keeps giving,positive,0.0772
2,1845037959587713161,Sat Oct 12 20:20:44 +0000 2024,2,@PovilasKorop I think @statamic is already a pretty good alternative to WP. With https://t.co/Zuv445dwjr you could also add the beloved block editor. Right now it s only missing the drama ,1845197933454798960,,PovilasKorop,en,Deutschland,0,1,0,https://x.com/dcsturm/status/1845197933454798960,38625116,dcsturm,povilaskorop think statamic already pretty good alternative wp could also add beloved block editor right missing drama,positive,0.743
3,1845197803733061890,Sat Oct 12 20:20:13 +0000 2024,135,So do Trademarks not matter any more @photomatt @WordPress. Seems you re trying to infringe on them right now. @wpengine #wordpress #wpdrama #trademarks https://t.co/YWdRMJcu3K,1845197803733061890,https://pbs.twimg.com/media/GZt1npBXIAQwwSB.jpg,,en,"East Palatka, Florida",3,8,3,https://x.com/daniel_iser/status/1845197803733061890,1397880649,daniel_iser,trademarks matter photomatt wordpress seems trying infringe right wpengine wordpress wpdrama trademarks,positive,0.0258
4,1845197673634156798,Sat Oct 12 20:19:42 +0000 2024,15,A year ago she was in pain. Now it looks like she's crying with joy. #WPDrama,1845197673634156798,,,en,"Dortmund, Germany",0,2,1,https://x.com/WarrenLNaida/status/1845197673634156798,776354778410614784,WarrenLNaida,year ago pain looks like crying joy wpdrama,negative,-0.0258
7,1845196156856377487,Sat Oct 12 20:13:40 +0000 2024,11,Trying out several alternatives to WordPress (#wpdrama reasons). Currently building something on @ghost. Happy that it is open source but also looking at closed source options as well. @divhuntofficial is one of those I'm considering. Looked at some static site builders but eh...,1845196156856377487,,,en,"Louisiana, USA",0,1,1,https://x.com/DonnaFontenot_/status/1845196156856377487,6322732,DonnaFontenot_,trying several alternatives wordpress wpdrama reasons currently building something ghost happy open source also looking closed source options well divhuntofficial one considering looked static site builders eh,positive,0.5423
8,1845195926509334577,Sat Oct 12 20:12:45 +0000 2024,203,In the latest #wpdrama I wonder if @photomatt has fully removed all references to @wp_acf from the forked plugin code as this could now be considered . trademark infringement https://t.co/P8KutQOxU6,1845195926509334577,https://pbs.twimg.com/media/GZtz6nAX0Awbenf.jpg,,en,"Berlin, Germany",4,13,14,https://x.com/verygoodplugins/status/1845195926509334577,4928236763,verygoodplugins,latest wpdrama wonder photomatt fully removed references wp acf forked plugin code could considered trademark infringement,negative,-0.2111
9,1845195750550143424,Sat Oct 12 20:12:03 +0000 2024,350,This is how the masses will unknowingly update from the real authentic @wp_acf to SCF. #WPEngine #WordPress #wpdrama https://t.co/HFAiZh8GBx,1845195750550143424,https://pbs.twimg.com/ext_tw_video_thumb/1845194924670480405/pu/img/W20gMYbSRP4Tsvc2.jpg,,en,"010, Netherlands",52,42,51,https://x.com/Brugman/status/1845195750550143424,9332552,Brugman,masses unknowingly update real authentic wp acf scf wpengine wordpress wpdrama,positive,0.25
10,1845195592286470545,Sat Oct 12 20:11:25 +0000 2024,1,Theft &amp; consumer deception under cover of #OpenSource over at #WordPress. Shameful unethical and seemingly criminal action by those in charge. #wpdrama,1845195592286470545,,,en,"Cape Town, South Africa",0,1,0,https://x.com/JacquesRentzke/status/1845195592286470545,114155868,JacquesRentzke,theft amp consumer deception cover opensource wordpress shameful unethical seemingly criminal action charge wpdrama,negative,-0.9153
11,1845191774962176499,Sat Oct 12 19:56:15 +0000 2024,0,okay this WP drama is a mess now and it makes me scared of future of stuff that i use daily for my work...,1845191774962176499,,,en,,0,0,0,https://x.com/treigys_/status/1845191774962176499,1098317449144004608,treigys_,okay wp drama mess makes scared future stuff use daily work,negative,-0.3612
12,1845191499925028895,Sat Oct 12 19:55:10 +0000 2024,0,There s drama everywhere. The open source community has seen crazy upheavals this month. I thought this WPE/WP fight would die down quietly but it looks like @photomatt is determined to make it a big thing. I m an avid user of @wp_acf so this is very concerning.,1845191499925028895,,,en,"Accra, Ghana",0,0,0,https://x.com/qrsyth/status/1845191499925028895,167113353,qrsyth,drama everywhere open source community seen crazy upheavals month thought wpe wp fight would die quietly looks like photomatt determined make big thing avid user wp acf concerning,positive,0.0516
13,1845191375740154275,Sat Oct 12 19:54:40 +0000 2024,117,When you lose the #1 &amp; #2 people from both https://t.co/TzpVIu70fc and #WordPress head of HR your general counsel and associate counsel your own chief of staff the CFO of Woo the head of Trust &amp; Safety and dozens more you might want to take a moment to reflect. #wpdrama,1845191375740154275,,,en,Mexico,1,2,19,https://x.com/kellie/status/1845191375740154275,790217,kellie,lose 1 amp 2 people wordpress head hr general counsel associate counsel chief staff cfo woo head trust amp safety dozens might want take moment reflect wpdrama,positive,0.7783
14,1845190587798126689,Sat Oct 12 19:51:32 +0000 2024,1,Does this mean it's going to become part of Jetpack so @Automattic can monetize it? https://t.co/EYiDOPuhtc #WordPress #wpdrama Am I allowed to use wp in my hashtag? Calling my lawyer to make sure...,1845190587798126689,,,en,"Kamloops, British Columbia",0,0,0,https://x.com/darrylschmidt/status/1845190587798126689,18434075,darrylschmidt,mean going become part jetpack automattic monetize wordpress wpdrama allowed use wp hashtag calling lawyer make sure,positive,0.5106
15,1845169499064107049,Sat Oct 12 19:29:20 +0000 2024,0,@BairdInspire @wp_acf no need for more drama lol. we can just fork it and kee using it,1845184998372196687,,BairdInspire,en,,0,0,0,https://x.com/lolofrigida/status/1845184998372196687,1208819125210009600,lolofrigida,bairdinspire wp acf need drama lol fork kee using,positive,0.5859
